"Id","Version","ParsedVersion","TargetFramework","PrevTFM","ChangedTFM"
"Microsoft.AspNetCore.WebUtilities","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.WebUtilities","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.WebSockets.Server","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.WebSockets.Protocol","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.WebSockets","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.WebSockets","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.TestHost","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.TestHost","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.TestHost","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.TestHost","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.TestHost","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.StaticFilesEx","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.StaticFiles","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.StaticFiles","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.SpaServices.Extensions","2.0.0","2000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.SpaServices.Extensions","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.SpaServices.Extensions","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.SpaServices.Extensions","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.SpaServices","1.1.0","1000000010000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.SpaServices","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
